Well_Name,DEPT,DPHZ,DT,GR_EDTC,HCAL,HDRA,NPHI,PEFZ,RHOZ,RLA3,RLA4,RLA5,RM_HRLT,SPHI,SVEL,TENS,TT1,TT2,TT3,TT4
MIP_4H,3907,0.0039,67.3341,132.113,8.679,-0.0025,0.1687,3.3127,2.6736,49.2667,53.5777,54.8916,0.0415,0.1052,14851.3193,2607,494.0868,358.4854,482.9221,346.5167
MIP_4H,3907.5,-0.0022,69.0919,133.6372,8.7017,-0.0011,0.1657,3.3389,2.6837,47.7191,49.5575,52.1091,0.0414,0.1184,14473.4805,2582,493.4257,360.123,482.3209,347.6902
MIP_4H,3908,-0.0153,70.7614,143.662,8.679,-0.0008,0.172,3.3873,2.705,33.8499,35.2529,35.5524,0.0415,0.1304,14132.002,2564,494.3568,357.9021,481.65,343.9289
MIP_4H,3908.5,-0.0258,70.1478,145.9284,8.7472,-0.0019,0.1969,3.4363,2.722,36.3519,37.616,37.8888,0.0415,0.1261,14255.6123,2547,493.4288,356.746,480.5334,344.1494
MIP_4H,3909,-0.0258,70.3811,141.4564,8.7245,-0.0024,0.1991,3.4816,2.722,43.955,46.132,45.7477,0.0413,0.1277,14208.3545,2578,493.5832,356.4319,480.7292,341.5548
MIP_4H,3909.5,-0.0179,69.5686,127.214,8.7131,-0.0011,0.1956,3.5047,2.7092,52.6095,54.8612,55.6636,0.0407,0.1219,14374.292,2574,494.9581,360.2899,483.0133,344.483
MIP_4H,3910,-0.01,68.7572,121.7273,8.6563,0.0015,0.1895,3.509,2.6963,45.4322,47.3138,47.6332,0.0404,0.116,14543.9326,2603,495.7394,361.2996,483.7076,341.2794
MIP_4H,3910.5,-0.0029,69.4383,128.7702,8.679,0.0027,0.1896,3.487,2.6846,36.6415,37.596,37.554,0.0402,0.121,14401.2656,2581,498.8087,359.1266,485.3086,339.6183
MIP_4H,3911,0.0014,70.442,133.8058,8.7017,0.0026,0.1928,3.4556,2.6777,42.0649,45.5673,43.5879,0.0403,0.1281,14196.084,2548,494.162,360.213,478.2826,339.7278
MIP_4H,3911.5,0.0056,70.215,143.7702,8.6563,-0.0005,0.1944,3.4135,2.6708,52.0509,54.9756,55.6136,0.0406,0.1265,14241.9775,2552,493.1016,362.0014,476.2332,340.5732
MIP_4H,3912,0.0041,70.5598,141.9398,8.6563,-0.0038,0.2074,3.4048,2.6733,42.9694,45.2056,45.1822,0.0408,0.129,14172.3848,2582,494.7746,357.3099,476.7408,335.336
MIP_4H,3912.5,-0.002,68.6237,139.278,8.679,-0.0058,0.2098,3.4105,2.6833,42.2176,44.6593,44.4038,0.0407,0.115,14572.2324,2598,497.9652,359.4623,478.9449,334.8987
MIP_4H,3913,-0.001,68.0845,132.2137,8.679,-0.0079,0.2046,3.4443,2.6816,58.3972,62.4961,65.3073,0.0407,0.1109,14687.6318,2608,494.9703,358.5646,480.4321,334.8767
MIP_4H,3913.5,-0.0047,68.28,135.7278,8.6336,-0.0053,0.1953,3.3963,2.6877,43.2121,44.2944,45.1333,0.0409,0.1124,14645.5811,2555,495.7996,360.4325,474.3539,332.8984
MIP_4H,3914,-0.006,68.7464,141.7146,8.7017,-0.002,0.2003,3.3405,2.6898,41.5164,42.014,43.0586,0.0412,0.1159,14546.2266,2539,495.9246,359.9591,476.9004,332.8984
MIP_4H,3914.5,-0.0085,70.1227,148.1933,8.7017,0.0025,0.2076,3.3218,2.6938,43.9058,46.3368,45.3624,0.0416,0.1259,14260.71,2560,496.2738,357.5614,475.3433,329.1353
MIP_4H,3915,-0.0031,68.906,139.8809,8.7017,0.0042,0.1923,3.3598,2.685,66.6292,71.5565,72.3513,0.0414,0.1171,14512.5342,2584,497.1021,364.1011,476.4244,338.5027
MIP_4H,3915.5,0.0061,69.0491,135.6105,8.6563,0.0039,0.1805,3.3703,2.67,69.2883,74.3416,77.44,0.0415,0.1181,14482.4463,2606,494.0781,364.2081,471.5652,338.1366
MIP_4H,3916,0.0155,68.3265,123.3779,8.6336,0.0019,0.1773,3.3413,2.6547,48.6192,50.306,52.3497,0.0413,0.1128,14635.6182,2597,496.5565,365.1179,475.437,337.8761
MIP_4H,3916.5,0.0275,69.0616,125.7816,8.6563,-0.0021,0.1824,3.3231,2.6351,64.7669,70.6333,72.2445,0.0416,0.1182,14479.8174,2541,497.7416,360.3838,476.5386,333.0865
MIP_4H,3917,0.0388,68.9959,123.0303,8.6336,-0.0054,0.1751,3.3308,2.6168,74.2509,80.8996,84.8689,0.0421,0.1177,14493.6074,2531,498.1395,357.9246,475.8383,334.2863
MIP_4H,3917.5,0.051,68.0517,119.2554,8.6336,-0.0076,0.1527,3.3591,2.5968,112.3538,125.7731,133.3902,0.0418,0.1107,14694.7021,2561,496.0146,360.6518,473.5155,337.9309
MIP_4H,3918,0.0613,67.3497,110.0048,8.6109,-0.0088,0.1406,3.3935,2.5802,148.9908,191.5294,207.2645,0.0418,0.1053,14847.8691,2601,493.7219,360.0476,477.3762,335.9996
MIP_4H,3918.5,0.0575,67.0214,109.155,8.6336,-0.0069,0.1304,3.382,2.5863,110.3657,131.3112,140.8433,0.0414,0.1028,14920.6006,2611,497.5268,358.49,482.3151,335.4721
MIP_4H,3919,0.05,67.3485,111.4243,8.6336,-0.0064,0.1372,3.3375,2.5986,88.2657,98.8487,106.1042,0.0408,0.1053,14848.1348,2599,498.9153,357.7054,483.3653,337.0034
MIP_4H,3919.5,0.0391,67.4365,121.1712,8.679,-0.0058,0.1417,3.2787,2.6162,72.1582,78.6649,84.515,0.041,0.106,14828.7578,2570,498.7686,357.0454,486.4094,340.1235
MIP_4H,3920,0.0344,68.5214,124.7724,8.679,-0.0074,0.1521,3.283,2.6239,56.5608,58.7775,66.08,0.041,0.1142,14593.9805,2544,501.4707,359.7547,488.9351,345.128
MIP_4H,3920.5,0.0279,70.0381,136.2476,8.7017,-0.0084,0.1616,3.3642,2.6345,42.0539,43.9041,46.8325,0.0409,0.1253,14277.9492,2552,500.7447,364.1367,485.3134,348.964
MIP_4H,3921,0.0128,70.8897,134.5107,8.6563,0.0006,0.1955,3.4581,2.6591,40.3485,41.8642,44.6953,0.0411,0.1313,14106.4307,2604,499.7278,367.0988,485.9644,353.9179
MIP_4H,3921.5,0.0036,71.8885,141.7744,8.6563,0.005,0.2188,3.5341,2.6742,37.7484,38.7184,41.1377,0.0417,0.1381,13910.4229,2589,503.9723,366.1783,492.1691,350.4493
MIP_4H,3922,0.0019,72.5532,139.1998,8.679,0.0045,0.2259,3.5111,2.6768,37.682,39.1161,40.3407,0.0413,0.1426,13782.9824,2589,503.5501,365.622,492.8507,351.4934
MIP_4H,3922.5,0.0091,70.579,141.7653,8.7017,-0.003,0.1964,3.4521,2.6652,67.5728,72.4259,75.4019,0.0415,0.1291,14168.5215,2556,504.6603,368.65,495.6043,355.2164
MIP_4H,3923,0.0201,70.6872,138.4822,8.679,-0.0073,0.1904,3.4282,2.6473,70.65,78.1439,84.0077,0.0415,0.1299,14146.8262,2556,505.5563,367.3649,495.5596,352.9328
MIP_4H,3923.5,0.0238,69.3188,132.8096,8.6336,-0.0064,0.189,3.4642,2.6412,42.2062,44.8231,45.823,0.0412,0.1201,14426.0977,2578,506.4892,365.7135,494.5237,353.5785
MIP_4H,3924,0.0165,69.5857,137.3668,8.679,-0.0049,0.1886,3.4888,2.6531,49.107,53.3449,54.0042,0.0414,0.122,14370.7764,2606,506.0849,361.1945,496.8697,348.5832
MIP_4H,3924.5,-0.005,70.7989,144.2587,8.645,0.0012,0.1772,3.5042,2.6881,52.4272,56.4253,57.5551,0.0417,0.1306,14124.5166,2610,505.1022,357.9803,492.7525,347.2837
MIP_4H,3925,-0.0277,69.7208,150.6069,8.6336,0.0081,0.1862,3.5115,2.7251,46.187,49.5625,49.2953,0.0417,0.123,14342.9277,2601,501.4742,362.7282,490.3724,353.8583
MIP_4H,3925.5,-0.0352,69.8638,148.9498,8.679,0.0102,0.2076,3.5402,2.7373,47.8376,51.1311,51.2944,0.0416,0.124,14313.5723,2561,500.8311,363.3295,494.0826,348.574
MIP_4H,3926,-0.0309,70.4104,141.3863,8.6563,0.0068,0.2414,3.5108,2.7303,42.527,45.2752,44.8562,0.0417,0.1279,14202.4424,2531,506.4962,364.3755,496.4485,350.074
MIP_4H,3926.5,-0.0264,70.5221,156.0554,8.7017,0.0028,0.2329,3.4596,2.723,41.7426,43.657,43.5711,0.0417,0.1287,14179.9502,2566,508.5215,365.286,495.2562,354.1515
MIP_4H,3927,-0.0233,71.5114,157.8459,8.679,-0.0013,0.2371,3.4467,2.718,38.3683,39.7453,39.9765,0.0418,0.1356,13983.7783,2569,510.8006,367.3215,498.307,354.3018
MIP_4H,3927.5,-0.0276,72.0206,167.5074,8.7245,-0.0026,0.2315,3.4599,2.725,37.9631,39.1937,39.3942,0.0419,0.139,13884.9248,2624,506.3911,371.1272,491.5505,355.7083
