Hole Depth,Hook Load,Rotary RPM,Rotary Torque,Weight on Bit,Differential Pressure,Gamma at Bit,Rate Of Penetration
6947,122.2,0,3.236,15.1,454.7,121.32,20.92
6948,126.7,0,4.371,13.8,487.1,125,29.12
6949,127.3,0,5.548,13.2,498.1,136.03,19.54
6950,124.9,0,5.409,16.2,548.8,132.35,33.96
6951,129.8,6,6.941,17.1,551.4,128.67,24.59
6952,122.7,0,6.402,18.1,557.2,125,35.33
6953,123.6,49,6.361,19.2,485.3,121.32,51.51
6954,119.1,50,6.788,20.5,545.5,125,64.58
6955,117.1,50,6.526,17.7,506,139.7,22.12
6956,117.6,50,6.383,17.7,508,113.97,22.04
6957,130.4,50,6.282,19.9,292.4,136.03,98.52
6958,127.1,50,5.63,13.4,294,143.38,31.31
6959,123.6,49,6.162,15.1,303.1,121.32,19.5
6960,124.6,49,5.75,16.2,306.8,121.32,31.76
6961,122.2,50,5.758,17.6,294.4,106.62,21.51
6962,122.7,50,6.218,20.6,345.5,113.97,44.41
6963,124.8,50,6.196,15.8,299.5,128.67,32.59
6964,125.2,49,5.769,15,309.9,102.94,26.12
6965,127,49,6.511,15.1,348.8,125,42.92
6966,127.2,50,5.87,17.1,331.6,121.32,49.51
6967,121,50,6.188,20.4,286.1,113.97,31.95
6968,121.8,50,6.96,24,437.6,125,66.68
6969,116.7,50,7.545,21.8,463.6,117.64,30.16
6970,121.5,49,6.792,20.7,355.6,125,32.62
6971,116.2,49,8.226,25.7,556.8,110.29,78.36
6972,111.7,49,8.492,28.4,601.3,132.35,58.77
6973,111.8,49,6.878,27.1,487.2,136.03,24.12
6974,111.8,49,7.301,26.9,493.9,143.38,30.47
6975,113,49,7.511,26,614.4,139.7,18.48
6976,113,49,9.871,29.9,656.5,147.06,58.67
6977,109.8,49,8.698,29.5,611.6,125,60.42
6978,112.7,49,9.028,29.8,640,125,48.65
6979,110.6,49,8.706,30.1,625.5,136.03,52.28
6980,113.9,49,7.777,26.9,615.3,121.32,29.44
6981,110.7,49,8.44,30.3,637.3,136.03,72.04
6982,109.6,49,7.162,29.4,571.2,121.32,40.79
6983,109.2,49,6.949,29.8,544.5,147.06,29.91
6984,109.4,49,6.675,29.5,456.1,132.35,21.86
6985,109.3,49,6.005,29.7,495.2,132.35,20.06
6986,109,49,6.496,29.7,516.8,169.11,17.83
6987,109.1,49,6.582,29.8,486.9,169.11,21.24
6988,118.5,49,7.016,22.2,391.6,165.44,18.86
6989,118.6,49,8.976,25.1,582.6,143.38,69.61
6990,114.8,49,7.972,24,519.2,139.7,38.71
6991,115,49,7.691,23.7,500,154.41,32.12
6992,115.1,49,7.702,28.6,485.2,136.03,42
6993,111.2,49,8.174,28.6,552.2,139.7,54.34
6994,111.7,49,8.875,28.2,575.4,143.38,41.12
6995,111.3,49,8.058,28.1,514.8,113.97,49.81
6996,111.3,49,8.226,28.3,531.3,143.38,48.7
6997,111.4,49,7.829,27.4,553.2,143.38,33.54
6998,111.7,49,6.807,27.1,467.7,150.73,33.36
6999,111.8,49,7.32,26.9,493.4,150.73,30.32
7000,112,49,8.53,27.1,608.2,128.67,40.83
7001,131.7,11,9.245,14.8,388.8,150.73,27.87
7002,130.9,5,4.671,9.1,247.6,136.03,17.14
7003,131.3,10,11.819,8.8,245.4,143.38,13.74
7004,130.6,0,2.288,8.7,233.3,132.35,17.43
7005,129.6,0,1.869,8.8,260.6,147.06,18.97
7006,129.4,1,3.21,9.4,288.5,150.73,18.78
7007,132.7,0,4.386,9,325.9,139.7,18.58
7008,129.7,0,2.712,9.2,282.5,147.06,18.68
7009,129.7,0,2.596,9.1,280,143.38,18.73
7010,129.6,0,2.348,9.3,279.5,125,18.8
7011,128.9,0,2.352,9.8,291,139.7,24.92
7012,129.3,0,2.352,9.1,262.9,143.38,25.44
7013,128.6,0,2.337,10.4,300.5,136.03,29.47
7014,129.8,2,4.188,10.4,315.7,125,29.16
7015,128.7,0,2.697,9.7,295.6,121.32,29.68
7016,133.8,0,4.81,9.8,339.4,136.03,29.52
7017,129.2,0,2.712,9.9,273.9,132.35,29.58
7018,129.6,0,2.712,9.8,276.5,125,29.83
7019,132.4,0,4.9,10.7,329.3,121.32,29.64
7020,130.7,0,2.686,8.4,240.2,136.03,24.88
7021,130.8,3,2.603,9,274.6,128.67,24.7
7022,129.7,3,3.941,9.2,296.6,121.32,24.64
7023,130.2,0,2.791,8.7,245,125,24.68
7024,136.1,50,6.829,11.1,366.4,121.32,89.17
7025,124.9,50,9.856,17.8,701.8,128.67,137.48
7026,121.7,50,9.242,18.8,682.5,117.64,141.39
7027,122.3,50,9.287,19.8,687.4,117.64,131.17
7028,122.1,50,9.253,17.5,671.8,128.67,137.66
7029,122.3,50,9.245,16.5,672.7,113.97,123.1
7030,123,50,9.909,17.7,685.6,117.64,123.44
7031,121.2,50,9.358,17.6,676.1,117.64,131.67
7032,120.9,50,8.8,19.5,672.3,110.29,124.58
7033,124.4,49,8.916,16.6,691.9,132.35,67.39
7034,122.3,50,9.332,18.2,681,110.29,141.66
7035,122.5,50,9.26,18.9,675.8,106.62,131.1
7036,122.4,50,9.422,18.7,687.5,106.62,122.3
7037,122.4,50,9.774,19.3,691.6,121.32,104.27
7038,123.4,50,9.729,19.9,712,132.35,102.35
7039,123.4,50,9.437,18.7,693.5,132.35,103.68
7040,123.7,50,9.837,17.6,689.6,132.35,108.01
7041,123.8,50,9.358,17.9,694.6,121.32,113.83
7042,122.1,50,9.433,17.3,680.7,121.32,116.4
7043,121.8,50,9.182,17,676.2,117.64,109.99
7044,122,50,8.964,17.7,684.9,147.06,121.27
7045,121.8,50,9.212,18.1,681.6,143.38,104.79
7046,123.5,50,9.437,18.1,694.1,132.35,105.73
7047,123.4,50,9.279,18.2,692,125,100.79
7048,123.4,50,9.275,18.5,698.2,132.35,104.39
7049,123.5,50,9.77,18.7,695.5,139.7,105.98
7050,123.4,50,9.553,18.4,692.8,136.03,110.59
7051,135.6,50,7.222,12.5,235.9,136.03,52.71
7052,126.4,50,9.332,17.4,615.5,136.03,161.51
7053,124.9,50,9.275,19,621.3,132.35,129.98
7054,124.8,50,9.242,17.9,612.2,132.35,107.18
7055,125.4,50,9.013,18,616.9,113.97,103.68
7056,124.7,50,9.144,18.3,613.3,132.35,103.68
7057,123.6,50,9.092,19.2,609.9,121.32,101.46
7058,122.7,50,9.463,19.4,607.1,121.32,110
7059,124.8,50,9.133,18.4,608.3,110.29,110.08
7060,124.5,50,8.964,17.2,604.3,99.26,111.45
7061,124,50,8.976,18.4,612.5,121.32,126.48
7062,122.8,50,8.916,18.3,607,121.32,104.36
